He 2      23.7234m   -5.185    0.0001
Ca B      23.7234m   -5.185    0.0001
#
He 2      25.8938m   -5.503    0.0000
Ca B      25.8938m   -5.503    0.0000
#
He 2      27.7855m   -4.985    0.0001
Ca B      27.7855m   -4.985    0.0001
#
He 2      27.8189m   -5.322    0.0000
Ca B      27.8189m   -5.322    0.0000
#
He 2      27.9461m   -4.430    0.0003
Ca B      27.9461m   -4.430    0.0003
#
He 2      29.8203m   -5.625    0.0000
Ca B      29.8203m   -5.625    0.0000
#
He 2      32.3586m   -5.453    0.0000
Ca B      32.3586m   -5.453    0.0000
#
He 2      33.0077m   -5.134    0.0001
Ca B      33.0077m   -5.134    0.0001
#
He 2      34.6404m   -4.616    0.0002
Ca B      34.6404m   -4.616    0.0002
#
He 2      37.3653m   -5.578    0.0000
Ca B      37.3653m   -5.578    0.0000
#
He 2      38.8449m   -5.275    0.0000
Ca B      38.8449m   -5.275    0.0000
#
He 2      42.3256m   -4.790    0.0001
Ca B      42.3256m   -4.790    0.0001
#
He 2      42.8617m   -5.697    0.0000
Ca B      42.8617m   -5.697    0.0000
#
He 2      45.3313m   -5.409    0.0000
Ca B      45.3313m   -5.409    0.0000
#
He 2      51.0700m   -4.954    0.0001
Ca B      51.0700m   -4.954    0.0001
#
He 2      52.5011m   -5.537    0.0000
Ca B      52.5011m   -5.537    0.0000
#
He 2      60.3884m   -5.658    0.0000
Ca B      60.3884m   -5.658    0.0000
#
He 2      60.9420m   -5.107    0.0001
Ca B      60.9420m   -5.107    0.0001
#
He 2      69.0275m   -5.774    0.0000
Ca B      69.0275m   -5.774    0.0000
#
He 2      72.0100m   -5.252    0.0000
Ca B      72.0100m   -5.252    0.0000
#
He 2      84.3422m   -5.389    0.0000
Ca B      84.3422m   -5.389    0.0000
#
He 2      98.0069m   -5.520    0.0000
Ca B      98.0069m   -5.520    0.0000
#
He 2      113.073m   -5.644    0.0000
Ca B      113.073m   -5.644    0.0000
#
He 2      129.608m   -5.763    0.0000
Ca B      129.608m   -5.763    0.0000
#
He 2      147.680m   -5.877    0.0000
Ca B      147.680m   -5.877    0.0000
#
